,5to6,7to10,11to14,5to14
HS_coef,0.1792112558126798,0.1395015646820785,0.07638412935440689,0.11654968003230017
HS_se,0.08709330581410193,0.06052286811203522,0.0621672848615756,0.05690083932463219
Pre_coef,0.007504827928755546,0.08254111896567284,0.018872047073132926,0.04288732237774997
Pre_se,0.0810502181916282,0.06282261603525484,0.06822726962337844,0.05970637559021719
