outcome,group,HS_Black_coef,HS_Black_se,HS_NonBlack_coef,HS_NonBlack_se,p_group_eq_nongroup,p_HS_eq_Pre_group,p_HS_eq_Pre_nongroup,R2_within,N,HS_Male_coef,HS_Male_se,HS_NonMale_coef,HS_NonMale_se,HS_lowAFQT_coef,HS_lowAFQT_se,HS_NonlowAFQT_coef,HS_NonlowAFQT_se
col5_NontestIndex,Black,0.36461625255574276,0.12746482915636084,0.2105909872788977,0.12002172540312911,0.3692317981198012,0.38602118336883695,0.5605633902995983,0.13764971131036052,1162,,,,,,,,
col5_NontestIndex,Male,,,,,0.10635930493090054,0.23528346016542037,0.5639388540069115,0.14020981914096275,1162,0.43228334068152924,0.13333140195381393,0.15508896114677861,0.11216732584988336,,,,
col5_NontestIndex,lowAFQT,,,,,0.30426348336591014,0.0337287876459529,0.7207631975626476,0.14597090664969803,1162,,,,,0.5087205289214052,0.23502864595956813,0.2492627372568092,0.09407541641959753
col6_LongTermIndex,Black,0.2785765421946501,0.10801350677135274,0.24097165321083253,0.10206758195316103,0.8003429418053544,0.11709684195133152,0.35585643215174656,0.1520327909094682,1162,,,,,,,,
col6_LongTermIndex,Male,,,,,0.35660143496733077,0.187390752732728,0.2599047687217263,0.15371275022152409,1162,0.1895078339801116,0.1078104407010399,0.3363714362149892,0.11072113475923849,,,,
col6_LongTermIndex,lowAFQT,,,,,0.034227082993253735,0.04953309629706049,0.2564561549296935,0.15570588460423573,1162,,,,,0.5572133362256948,0.13817866948106908,0.2165440311351275,0.08327995822959962
