subgroup,beta,se,p,N,families
Black,0.26415230388385125,0.10654699020399021,0.013167396318704172,229,85
Female,0.28760513978471025,0.1559329194530564,0.06512256698359155,130,53
Hispanic,0.26306754867372,0.12067411681026319,0.02925870605773881,123,41
Male,0.1876429586100901,0.14027095120387986,0.18098842216700717,110,50
NonBlack,0.19898445565102113,0.10686889909278979,0.06261025837470947,195,72
