MotherID,T,ps,w,Sum_Adult,Male,FirstBorn
8.0,0.0,0.30130827367720087,0.8439028790521889,-1.1045653953171772,0.0,1.0
175.0,0.0,0.15377971588910058,0.6967783335910699,1.3042091651400853,1.0,1.0
224.0,1.0,0.5754159915378153,0.7131745495802351,0.6027679154954642,1.0,1.0
224.0,0.0,0.4992358504688794,1.1774564132952394,0.6027679154954642,0.0,0.0
224.0,0.0,0.5118017846735089,1.2077634471060699,-1.515807564639165,1.0,0.0
227.0,0.0,0.5771781737750098,1.3945069124695655,-1.702018524756813,0.0,1.0
227.0,0.0,0.5046972115252535,1.19043941026352,-0.269769960456498,0.0,0.0
227.0,1.0,0.5092152359543106,0.8058911273877643,-0.08355900033885029,1.0,0.0
239.0,1.0,0.2610804318465365,1.5718222835921427,-1.702018524756813,0.0,1.0
239.0,0.0,0.4670315114080495,1.1063092322240144,-1.6984500708772756,1.0,0.0
239.0,0.0,0.3096190688437173,0.8540617690963992,-0.08355900033885029,1.0,0.0
258.0,0.0,0.16968227571669958,0.7101232963835612,1.3042091651400853,0.0,0.0
258.0,1.0,0.26938662706809136,1.523357135625438,-1.2872079015552873,1.0,0.0
285.0,0.0,0.40418260899886715,0.9896118648417115,0.6143137954262338,0.0,1.0
285.0,1.0,0.2464970990361584,1.6648148890630503,0.6027679154954642,0.0,0.0
285.0,0.0,0.5478065730851869,1.3039286383188224,-0.1395852790909986,1.0,0.0
289.0,1.0,0.21644279761904534,1.8959838123536439,-0.08712745421838787,1.0,1.0
340.0,1.0,0.3924786797300903,1.045590656971382,0.5686110014315365,1.0,1.0
373.0,0.0,0.20191871904533373,0.738806902861373,0.4316712891881235,1.0,1.0
374.0,0.0,0.19548489623073206,0.732898557965243,0.5686110014315365,0.0,0.0
374.0,0.0,0.3544827130687764,0.9134193171136189,-0.269769960456498,1.0,0.0
379.0,1.0,0.7079601954254207,0.5995519442952707,-1.8469185899036398,0.0,1.0
425.0,0.0,0.2698380448541725,0.8075303776899662,-0.0720131204080808,1.0,0.0
425.0,0.0,0.1654400993256157,0.7065136474173904,-0.41467002560332517,1.0,0.0
529.0,0.0,0.16365746732765427,0.705007740703716,0.6178822493057712,1.0,1.0
550.0,0.0,0.1952993133112872,0.7327295343067647,1.3042091651400853,0.0,1.0
618.0,0.0,0.21802281813533314,0.7540219498576091,-0.08355900033885029,0.0,0.0
619.0,0.0,0.14141017472431272,0.6867399799717272,1.3042091651400853,0.0,0.0
619.0,0.0,0.09690992530401567,0.6529004978957899,1.3042091651400853,0.0,0.0
632.0,0.0,0.3136545809394835,0.8590834047101952,1.3042091651400853,0.0,1.0
