,meta
p_AllAgeEqual,0.15193440984801831
p_HS_eq_Pre_5to6,0.020546945191402627
p_HS_eq_Pre_7to10,0.24802854361534243
p_HS_eq_Pre_11to14,0.3062008682998153
p_HS_eq_Pre_5to14,0.14595108156364403
R2_within_age,0.049681646817467895
N_age,4687.0
R2_within_5to14,0.04800115174066577
N_5to14,4687.0
